"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02199V02655","Sex","C02076V03371","Single Year of Age","C03789V04537","Administrative Counties","UNIT","VALUE"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","105"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","208"
"FY006AC01","Population","2022","2022","2","Female","088","88 years","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","79"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","IE0","Ireland","Number","4961"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","54"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","712"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","331"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","192"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","188"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","160"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","115"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","64"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","42"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","116"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","143"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","62"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","78"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","159"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","133"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","132"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","232"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","340"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","182"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","202"
